frequency;MAG;PHA
100.0;0.0;0.0
126.63801734674034;0.0;0.0
160.3718743751331;0.0;0.0
203.09176209047348;0.0;0.0
257.19138090593447;0.0;0.0
325.7020655659783;0.0;0.0
412.4626382901352;0.0;-0.00571428571428571
522.3345074266844;0.0;0.0
661.4740641230146;0.0;0.0
837.6776400682916;0.0;0.0
1060.8183551394482;0.0;-0.0114155251141552
1343.3993325989002;0.0;-1.0
1701.2542798525892;0.0;-1.0
2154.4346900318824;0.0;-2.78448275862069
2728.3333764867693;0.0;-3.0
3455.1072945922183;0.0986332574031899;-3.90432801822323
4375.479375074185;0.100000000000001;-4.0
5541.020330009492;0.100000000000001;-5.70854271356784
7017.038286703822;0.200000000000001;-7.0
8886.238162743408;0.299999999999999;-9.97650130548302
11253.355826007646;0.400000000000003;-10.2725
14251.026703029964;0.699999999999994;-15.1206030150754
18047.217668271704;1.10229007633588;-20.0
22854.63864134993;1.8;-28.9090909090909
28942.661247167518;2.70000000000002;-42.364161849711
36652.41237079626;3.4;-67.9826086956522
46415.888336127726;1.7;-103.155425219941
58780.16072274912;-2.68516320474779;-130.545994065282
74438.03013251696;-7.59999999999995;-146.042296072508
94266.84551178855;-12.4000000000001;-154.867283950617
119377.66417144358;-17.0;-160.34328358209
151177.507061566;-21.4;-163.230769230769
191448.19761699575;-25.8714285714286;-165.532258064516
242446.20170823307;-30.1245901639344;-170.5245901639344
307029.062975785;-34.5189655172414;-175.0344827586207
388815.51803080854;-39.44;-173.854545454545
492388.26317067316;-42.237037037037;-178.096153846154
623550.7341273912;-42.0788461538462;-179.7391304347826
789652.2868499733;-43.6979591836735;-179.69230769230769
1000000.0;-45.7229166666667;-179.888888888889
